cell_id,cell_lat,cell_lon,centroid_lat,centroid_lon
11.700000000000001_76.0,11.700000000000001,76.0,11.750000000000002,76.05
12.8_75.7,12.8,75.7,12.850000000000001,75.75
11.8_75.8,11.8,75.8,11.850000000000001,75.85
10.700000000000001_75.9,10.700000000000001,75.9,10.750000000000002,75.95
10.3_77.30000000000001,10.3,77.30000000000001,10.350000000000001,77.35000000000001
12.8_74.9,12.8,74.9,12.850000000000001,74.95
15.9_73.9,15.9,73.9,15.950000000000001,73.95
14.200000000000001_76.3,14.200000000000001,76.3,14.250000000000002,76.35
13.5_75.10000000000001,13.5,75.10000000000001,13.55,75.15
9.600000000000001_76.80000000000001,9.600000000000001,76.80000000000001,9.650000000000002,76.85000000000001
8.6_77.30000000000001,8.6,77.30000000000001,8.65,77.35000000000001
13.8_75.8,13.8,75.8,13.850000000000001,75.85
12.200000000000001_75.60000000000001,12.200000000000001,75.60000000000001,12.250000000000002,75.65
10.0_76.3,10.0,76.3,10.05,76.35
12.100000000000001_75.10000000000001,12.100000000000001,75.10000000000001,12.150000000000002,75.15
11.4_76.3,11.4,76.3,11.450000000000001,76.35
15.9_75.2,15.9,75.2,15.950000000000001,75.25
12.0_75.2,12.0,75.2,12.05,75.25
15.9_74.0,15.9,74.0,15.950000000000001,74.05
11.9_76.2,11.9,76.2,11.950000000000001,76.25
12.200000000000001_76.5,12.200000000000001,76.5,12.250000000000002,76.55
12.600000000000001_74.9,12.600000000000001,74.9,12.650000000000002,74.95
8.700000000000001_77.0,8.700000000000001,77.0,8.750000000000002,77.05
15.9_75.3,15.9,75.3,15.950000000000001,75.35
14.600000000000001_74.4,14.600000000000001,74.4,14.650000000000002,74.45
12.600000000000001_75.3,12.600000000000001,75.3,12.650000000000002,75.35
14.700000000000001_74.60000000000001,14.700000000000001,74.60000000000001,14.750000000000002,74.65
8.5_77.10000000000001,8.5,77.10000000000001,8.55,77.15
15.0_74.2,15.0,74.2,15.05,74.25
15.3_74.2,15.3,74.2,15.350000000000001,74.25
